qid,gender,citizenship,occupation,cause_of_death
Q372804,male,Canada,ice hockey player,lung cancer
Q363148,male,United Kingdom,association football player|association football coach,prostate cancer
Q366788,male,Croatia|Socialist Federal Republic of Yugoslavia|Independent State of Croatia|Kingdom of Yugoslavia,association football player|association football coach|politician,prostate cancer
Q3621587,female,United States,model|pornographic actor,drug overdose
Q36226,female,United States,film actor|fetish model|model|pornographic actor,drug overdose
Q380916,male,Burundi,politician|military personnel,COVID-19
Q387953,male,Sudan,politician,COVID-19
Q3758985,male,United States,songwriter|actor|television actor|film producer|singer,nerve sheath neoplasms
Q3810475,male,Spain,association football player,COVID-19
Q3920003,male,Russia|Soviet Union|Second Polish Republic,screenwriter|actor|television presenter|theatre director|drama teacher,COVID-19
Q380347,male,Italy,designer|photographer,amyloidosis
Q3736333,female,Spain,writer,bladder cancer
Q363236,male,United States,songwriter|lyricist|singer,drug overdose
Q367155,male,United States,film actor|television actor|film director|actor,brain cancer|brain tumor
Q371600,male,United States,non-fiction writer|university teacher|theologian|priest|writer,pancreatic cancer
Q377789,male,India|British Raj,film actor|film producer|film director|politician,prostate cancer
Q379613,male,United States,recording artist|jazz pianist|television actor,prostate cancer
Q380111,male,Czech Republic,association football player,hanging to death
Q384038,male,United States,theologian|Catholic bishop|Catholic priest,prostate cancer
Q381002,male,El Salvador,politician,cerebral hemorrhage
Q38849,male,Japan|Empire of Japan,explorer|film actor|novelist|critic|journalist|film director|lyricist|playwright|politician|writer|actor|screenwriter,pancreatic cancer
Q379550,male,Vanuatu,diplomat|politician,asthma
Q38711433,female,India,activist|journalist|editor,gunshot wound
Q380531,male,United States,drummer|songwriter|musician|record producer,dilated cardiomyopathy
Q388991,male,Turkey,film editor|film director|actor|screenwriter,falling
Q363079,male,United States,politician|businessperson|military personnel|lawyer,chronic inflammatory demyelinating polyradiculoneuropathy
Q369270,male,Italy|Kingdom of Italy,professional wrestler,multiple organ dysfunction syndrome
Q375268,male,United States,installation artist|printmaker|designer|visual artist|jewelry designer|graphic artist|painter|sculptor|engraver|photographer,lymphoma
Q382150,male,Ukraine|Soviet Union,adviser|biologist|test pilot|politician|engineer|military personnel|astronaut,cardiovascular disease
Q363846,male,Russia|Soviet Union,statesperson|physicist|politician,gunshot wound
Q382104,male,Albania,journalist|playwright|politician|poet|writer|screenwriter,lung disease
Q365913,male,Republic of Egypt|United Arab Republic|Egypt|Kingdom of Egypt,entrepreneur|businessperson,
Q366022,male,United Kingdom,association football player,
Q366150,male,United States,novelist|writer,
Q366266,male,United States,science fiction writer|novelist|archaeologist|writer|screenwriter,
Q366524,male,Russia,non-fiction writer|memoirist|chief executive officer|statesperson|engineer|politician,
Q366575,male,United States,autobiographer|novelist|philosopher|writer,
Q366910,male,United Kingdom|United Kingdom of Great Britain and Ireland,film actor|television actor|stage actor|singer|composer|writer|actor,
Q367566,male,United States,baseball player,
Q367816,male,Sweden,handball player|association football player,
Q367901,male,Italy|Kingdom of Italy,entrepreneur,
Q368091,male,United States,politician|lawyer,
Q368720,male,United States,military officer|judge|lawyer,
Q369593,male,United States,basketball player,
Q369600,male,France,chess player|university teacher|mathematician,
Q369724,male,United States,theoretical physicist|satirist|university teacher|lyricist|singer-songwriter|songwriter|musician|pianist|singer|mathematician|composer,
Q371637,male,United Kingdom,military personnel,
Q371680,male,Benin|Nigeria,association football player,
Q372210,male,Sweden,philosopher|university teacher|playwright|translator|poet|writer,
Q372215,male,United States,aircraft pilot|fighter pilot|astronaut|merchant|military officer|entrepreneur|businessperson|physicist|scientist,
Q372497,male,United States,American football player|athletics competitor|television actor|film actor|painter|actor,
Q372947,male,United Kingdom,film actor|stage actor|actor,
Q373088,male,Spain,businessperson,
Q373385,male,United States,programmer|security hacker|journalist|hacker|computer scientist,
Q373936,male,United States,theologian|Catholic bishop|Catholic priest,
Q374034,male,United States,air force officer|military flight engineer|test pilot|engineer|astronaut,
Q361567,male,Nigeria,military officer|politician|military personnel|teacher,
Q362669,male,United States,politician|lawyer,
Q363518,male,United Kingdom,film actor|television actor|theatre director|film director|stage actor|actor|screenwriter,
Q363653,male,United Kingdom|France,director|film director|screenwriter,
Q363766,male,Sweden,bandy player|ice hockey player|association football player|association football coach,
Q363908,male,United States,classical pianist|jazz pianist|poet|composer|writer,
Q364083,male,France,film actor|French resistance fighter|production manager|television actor|stage actor|voice actor|actor,
Q364097,male,France|Czechoslovakia,association football player,
Q364189,male,United States,science fiction writer|novelist|author|poet|writer,
Q364207,male,France|South Africa,anti-apartheid activist|essayist|lithographer|political activist|visual artist|painter|poet|writer,
Q364238,male,United States,university teacher|physicist|teacher|writer,
Q364456,male,France,historian of science|philosopher,
Q364476,male,United States,enlisted person|aircraft pilot|test pilot|executive|military officer|astronaut,
Q364990,male,United States,presenter|televangelist|Christian minister|military officer|entrepreneur|politician|writer,
Q365414,male,United States,swimmer|inventor|businessperson,
Q365451,male,United States|Antigua and Barbuda,athletics competitor|politician,
Q365567,male,United States|Belgium,harmonicist|jazz guitarist|voice actor|whistle artist|film score composer|musician|composer,
Q3724649,female,Italy|Kingdom of Italy,centenarian|tailor|cook,
Q3736809,male,Norway,sailor|businessperson,
Q3770611,male,Italy,rower,
Q3775277,male,Romania,handball coach|handball player,
Q3821012,male,Spain,association football player|association football coach,
Q3847343,female,Brazil|Second Polish Republic,Ukrainian–German translator|literary scholar|writer|translator|university teacher,
Q3898726,male,Spain,association football player|sports agent,
Q3773,female,Russia,athletics competitor,
Q39803,male,Spain|Peru|Dominican Republic,prose writer|broadcaster|opinion journalist|essayist|novelist|literary critic|philosopher|journalist|university teacher|film director|dramaturge|playwright|politician|writer,
Q381157,male,United States,anti-abortion activist|hymnwriter|cleric|politician|lawyer,
Q381661,male,Ireland|Irish Free State|Irish Republic,civil servant|diplomat|politician,
Q381810,male,Cook Islands,politician,
Q381817,male,France|Cambodia,politician,
Q381827,male,France,civil engineer|painter|engineer|architect|writer,
Q382604,male,France|United Kingdom,novelist|critic|opinion journalist|art critic|journalist|art historian|painter|poet|writer|screenwriter,
Q384687,male,Hungary,electrotechnician|university teacher|inventor|mathematician,
Q384784,male,Kingdom of the Netherlands,filmmaker|cinematographer|photographer,
Q385212,female,Hungary,fencer|coach,
Q388959,male,Italy,association football player|association football coach,
Q389851,male,Hungary,librettist|university teacher|pianist|conductor|composer,
Q389861,male,Hungary,association football player|association football coach,
Q390228,female,Albania,film actor|stage actor,
Q393715,male,Yugoslavia|Socialist Federal Republic of Yugoslavia,association football player|association football coach,
Q393752,male,Yugoslavia|Socialist Federal Republic of Yugoslavia,association football player|association football coach,
Q399018,female,Portugal,novelist|biographer|playwright|writer|screenwriter,
Q399969,male,Soviet Union|Kingdom of Romania|Israel,prose writer|physical education teacher|university teacher|writer,
Q3632740,female,India|Dominion of India|British Raj,art historian|author|politician,
Q3655407,male,Russia,militant|public figure,
Q3694565,male,India|British Raj,religious leader,
Q374315,male,United States,gemologist|real-estate agent|military officer,
Q374610,male,United States,journalist|biographer|historian|writer,
Q374855,female,Italy,film actor|stage actor|actor,
