qid,gender,citizenship,occupation,cause_of_death
Q112048,male,Russia|Soviet Union,film screenwriter|film actor|theatre director|film director|stage actor|actor,traffic collision
Q1051041,female,Indonesia|Dutch East Indies,women's rights activist|novelist|writer,traffic collision
Q1065817,male,United States,novelist|journalist|writer|screenwriter,Alzheimer's disease
Q115601844,male,Kenya,marathon runner|athletics competitor|long-distance runner|athlete,traffic collision
Q104859,male,United States,autobiographer|test pilot|airman|military officer|entrepreneur|actor|astronaut,cancer
Q1126725,male,United States,auctioneer|journalist|politician,stroke
Q11109,male,United States,naval officer|jurist|lawyer|judge,stroke
Q1067812,male,United States,drummer|musician|songwriter,myocardial infarction
Q1139993,male,United States,professional wrestler|actor,myocardial infarction
Q10391249,male,Brazil,association football coach|association football player,myocardial infarction
Q11156,male,United States,jurist|professor|lawyer|judge,myocardial infarction
Q1155646,female,Japan,television writer|comics creator|essayist|comics writer|lyricist|mangaka|writer,breast cancer
Q111588744,female,Soviet Union|Ukraine,embroiderer|painter|fashion designer,famine
Q1179411,male,United Kingdom,autobiographer|journalist|association football coach|association football player,dementia
Q11132,female,United States,jurist|politician|lawyer|judge,dementia|respiratory disease
Q108941,female,United States,television actor|film actor|novelist|film producer|voice actor|script doctor|stage actor|playwright|singer|writer|screenwriter|spokesperson|actor,myocardial infarction
Q113898,male,Germany,sport cyclist|athlete,myocardial infarction
Q1041211,male,Italy,dub actor|film actor|television actor|film producer|stage actor|actor,myocardial infarction
Q1046993,male,Hungary,director|film director|actor|screenwriter,myocardial infarction
Q1097113,male,France,film actor|television actor|stage actor|playwright|actor|screenwriter,cancer
Q1101521,male,France,presenter|literary critic|journalist|television presenter|writer,cancer
Q1109236,male,Norway,speed skater|sport cyclist,cancer
Q1140491,male,Mexico,association football coach|association football player,cancer
Q10707,male,Zimbabwe,politician,cancer
Q1113992,female,Italy|Kingdom of Italy,trade unionist|partisan|politician|writer|teacher,Parkinson's disease
Q1181089,male,United States,television actor|film actor|voice actor|stage actor|musician|singer|actor,Parkinson's disease
Q110628,male,United States,television actor|film actor|stage actor|actor,disease
Q114063,male,Italy|Kingdom of Italy,film editor|production designer|film director|director|scenographer|film producer|television director|cinematographer|screenwriter|writer,disease
Q111317677,male,Soviet Union|Ukraine,public figure,conflagration
Q1174641,male,United States,philanthropist|political activist|chemical engineer|chemist|merchant|politician|entrepreneur|businessperson|engineer,prostate cancer
Q104372,female,United States,recording artist|film actor|television actor|musician|singer|politician|actor,pneumonia
Q105480,male,Zambia,freedom fighter|head of government|politician|teacher,pneumonia
Q107667,male,United States,military aviator|autobiographer|naval officer|military flight engineer|test pilot|astronaut,pneumonia
Q116650,male,Argentina,association football player,pneumonia
Q1006152,male,Italy,presenter|director|film director|television presenter|engineer|actor|screenwriter|writer,pneumonia
Q110374,male,United States,television actor|film actor|film producer|film director|screenwriter|actor,stroke
Q1177587,male,Romania,film actor|stage actor|politician|writer|actor,colorectal cancer
Q1101643,male,United States,laborer|bouncer|film actor|television actor|songwriter|extra|military officer|singer|sailor|military personnel|actor,heart failure
Q1138600,male,United States,rapper|musician|songwriter|record producer|singer,heart failure
Q1142513,male,Russia|Soviet Union,presenter|manufacturer|theatre director|film producer|film director|music video director|journalist|television presenter|television producer|screenwriter|actor,heart failure
Q11239,male,United States,commissioned armed forces officers|autobiographer|philanthropist|art collector|soldier|entomologist|financier|banker|statesperson|entrepreneur|businessperson|writer,heart failure
Q111980,male,Thailand,politician|businessperson,asthma
Q10296530,male,India,television actor|dancer|film actor|model|actor,asphyxia
Q1131535,male,United States,baseball player|basketball player,pancreatic cancer
Q1156266,female,United Kingdom,non-fiction writer|university teacher|geographer|economist,pancreatic cancer
Q11116,female,United States,Member of the Constitutional Court of Austria|jurist|lawyer|judge,pancreatic cancer
Q1041634,female,Italy|Kingdom of Italy,film actor|stage actor|journalist|television presenter,leukemia
Q11490,trans woman,United States,electrical engineer|university teacher|inventor|computer scientist,heart disease
Q1010436,male,Italy,film producer|film director|screenwriter,melanoma
Q11488414,male,Japan,journalist|war correspondent|writer,decapitation
Q102395,male,United States,biochemist|university teacher|chemist,respiratory failure
Q106685,male,Poland,theatre designer|theatre director|director|film producer|television director|theatre manager|painter|film director|illustrator|politician|screenwriter,respiratory failure
Q1042564,male,Italy,motorcycle racer,respiratory failure
Q1086279,male,France,musician|singer|composer,pulmonary emphysema|COVID-19
Q106221,male,United States,orchestrator|film score composer|bandleader|musician|conductor|composer,aircraft crash
Q106529,male,Switzerland|France,producer|art collector|film actor|television actor|director|film producer|stage actor|film director|musician|singer|writer|actor|screenwriter,lymphoma
Q106481,male,United Kingdom,film actor|television actor|theatre director|director|film producer|voice actor|stage actor|character actor|film director|graphic designer|musician|writer|actor|screenwriter,pancreatic cancer
Q109559,male,United States,molecular biologist|crystallographer|biophysicist|biochemist|biologist|university teacher|chemist,pancreatic cancer
Q1066361,male,Czech Republic|Czechoslovakia,film actor|film director|director|screenwriter|actor,respiratory failure
Q1131618,female,Mexico,film actor|television actor|stage actor|singer|actor,liver cancer
Q1065216,male,United States,opinion journalist|columnist|journalist|pundit|psychiatrist|speechwriter|physician|writer,small intestine cancer
Q115110885,female,Uganda,marathon runner|long-distance runner,multiple organ dysfunction syndrome
Q1120700,male,United States,autobiographer|film actor|television actor|voice actor|stage actor|actor,blunt trauma
Q1174579,male,United States|United Kingdom,social anthropologist|cultural anthropologist|trade unionist|anthropologist|university teacher|ethnologist|writer,acute pancreatitis|internal bleeding
Q108283,male,United States,science fiction writer|film actor|television actor|children's writer|director|theatre director|film producer|film director|stage actor|television director|singer|writer|musician|filmmaker|character actor|screenwriter|actor,cardiovascular disease
Q1041527,male,Italy,film actor|television actor|stage actor|actor,falling
Q106624,male,United States|Egypt,university teacher|chemist|inventor|physicist,spinal cord lymphoma
Q117439,male,Greece,Christian minister|university teacher|theologian,COVID-19
Q1000366,male,United States,jazz musician|jazz guitarist|guitarist|musician,COVID-19
Q1064011,male,Venezuela,politician|lawyer,surgical complications
Q109493880,male,Russia,military officer,bomb attack
Q111433188,male,Russia|Soviet Union|Ukraine,bank robber|autobiographer|militant|blogger|war correspondent|military personnel|writer,bomb attack
Q105396829,male,United States,Minecraft YouTuber|YouTuber,sarcoma
Q10390,male,United States,naval officer|autobiographer|soldier|aircraft pilot|television presenter|fighter pilot|author|politician|writer|screenwriter,glioblastoma
Q109051038,female,Ukraine,investigative journalist|cinematographer,gunshot wound
Q109337139,male,Ukraine,journalist|photojournalist|videographer|photographer,gunshot wound
Q106881,female,Italy|Kingdom of Italy,film actor|film director|comedian|stage actor|screenwriter|actor,dementia with Lewy bodies
Q105825,male,United States,film actor|television actor|film producer|voice actor|stage actor|musician|actor,prostate cancer
Q117249,male,Canada,recording artist|producer|film actor|film score composer|guitarist|lyricist|singer-songwriter|musician|record producer|singer|composer|screenwriter|actor,prostate cancer
Q106235,male,Germany|German Democratic Republic,non-fiction writer|foreign minister|university teacher|assessor|military personnel|politician|lawyer,cardiac arrest
Q116020,male,Switzerland,pop singer|songwriter|musician|pianist|singer,cardiac arrest
Q1138783,male,United States,professional wrestler|basketball player|bodyguard|actor,drowning
Q1029506,male,Spain,pop singer|DJ producer|singer|painter|songwriter|actor|composer,kidney failure
Q1112549,male,United Kingdom|The Bahamas|United Kingdom of Great Britain and Ireland,sailor,kidney failure
Q1166019,male,Iran|Pahlavi Iran,director|film director|translator|screenwriter,stabbing
Q1091285,trans woman,United States,film actor|stage actor|musician,brain cancer
Q1156878,male,United States,theoretical physicist|university teacher|physicist,brain cancer
Q1151134,male,Japan,association football player,surgical complications
Q101064944,female,South Africa,film actor|model|actor,bacterial sepsis
Q113568088,female,Russia,journalist|editor-in-chief|politician,truck bombing
Q1066772,male,United States,country musician|baseball player|guitarist|musician|songwriter|singer,COVID-19
Q1067412,male,Spain,real estate developer|association football player,COVID-19
Q1124093,male,Iran,association football player|association football coach|singer,COVID-19
Q102200,male,Hungary,translator|poet|politician|lawyer|writer,
Q102266,male,Canada|United States,molecular biologist|biophysicist|biochemist|biologist|university teacher|chemist|physicist,
Q102379,male,United States,molecular biologist|biochemist|biologist|university teacher|researcher|chemist,
Q103598,male,France,molecular biologist|virologist|biologist|researcher|professor,
Q103784,male,Canada,peace activist|film actor|television actor|film producer|voice actor|stage actor|character actor|spokesperson|actor|screenwriter,
Q104027,male,United States,producer|philanthropist|film actor|television actor|soldier|film director|director|film producer|stage actor|musician|military personnel|writer|actor|screenwriter,
Q104049,male,United States|The Bahamas,autobiographer|film actor|activist|television actor|film director|director|film producer|theatre director|stage actor|musician|author|television producer|diplomat|writer|actor,
Q105927,male,Japan|United States,researcher|chemist|professor,
Q106036,male,France,film actor|television actor|military officer|military personnel|actor,
Q106099,female,France,recording artist|film actor|director|film producer|stage actor|film director|musician|singer|actor|screenwriter,
Q112856,male,Austria,designer|painter|university teacher|sculptor|artist|musician|architect|poet|singer|composer|writer|etcher|watercolorist|lithographer|philosopher|draftsperson|performance artist|ornamental sculptor|theatre designer|printmaker|speaker|scenographer,
Q113081,male,United States|Austria,geophysicist|oceanographer|university teacher|physicist,
Q113628,male,Burkina Faso,film director|film producer|screenwriter,
Q113935,male,United States|Nicaragua,politician|diplomat|priest,
Q114142,female,Nicaragua,journalist|politician,
Q114623,female,Austria,prose writer|translator|playwright|poet|screenwriter|writer,
Q114867,male,United States,pedagogue|university teacher|psychologist,
Q115611,male,Switzerland,university teacher|politician,
Q115630,male,Switzerland,philosopher|non-fiction writer|university teacher|writer,
Q115681,male,Switzerland,theologian|Catholic priest|Catholic bishop,
Q115689,male,Switzerland,theologian|Catholic priest|Catholic bishop,
Q116236,male,Switzerland,film director|director|television director|television producer|screenwriter,
Q116516,male,United Kingdom,boxer|autobiographer,
Q116630,male,Peru,President of the Republic|politician|military officer,
Q116911,male,Sweden,association football player|association football coach,
Q117071,male,France,film theorist|film director|director|television director|assistant director|cinematographer|screenwriter,
Q1006033,male,Hungary,weightlifter|coach,
Q1010375,male,Italy|Kingdom of Italy,director|film director|screenwriter,
Q1012106,male,United Kingdom,film actor|television actor|stage actor|comedian|actor,
Q1016283,male,Turkey,association football player,
Q1027165,,,,
Q1028081,male,Brazil,association football player,
Q1030228,male,Russia|Soviet Union,inventor|university teacher|mathematician|physicist,
Q1033656,male,Sweden,director|film director|cartoonist|lyricist|comedian|actor|screenwriter|composer|writer,
Q1042239,male,United Kingdom,singer,
Q1042327,male,Italy|Kingdom of Italy,association football player|association football coach,
Q1043593,male,Malta,jurisprudence|head of government|university teacher|jurist|politician|lawyer,
Q1052709,male,United States,programmer|computer scientist,
Q1053872,male,United States,drummer|audio engineer,
Q1058602,male,United States,film actor|racing automobile driver|film producer,
Q1062006,male,North Korea,politician,
Q1062393,male,Uzbekistan|Soviet Union,politician,
Q1064022,male,United States,actor,
Q1064623,male,United States,athletics competitor,
Q1065189,male,United States,university teacher|physicist|engineer,
Q1066327,male,United States,weightlifter,
Q1081523,female,United States,interior architect|television actor|fashion designer|author|socialite|writer|actor,
Q1095435,male,United States,film actor|television actor|pedagogue|television director|actor,
Q1096420,male,France,geochemist|geologist|politician,
Q1112554,female,United States,film actor|television actor|actor,
Q1113742,female,United Kingdom|United Kingdom of Great Britain and Ireland,journalist|war correspondent|writer,
Q1115062,female,United States,film actor|television actor|actor,
Q1125643,female,Hungary,artistic gymnast|athlete,
Q1133956,male,Brunei,Catholic bishop|Catholic priest,
Q1134418,male,Italy,association football player|association football coach,
Q1140116,male,People's Republic of China|British Hong Kong|Republic of China,film actor|television actor|actor,
Q1142250,female,Japan,film actor|actor,
Q1145182,male,Italy,fencer,
Q1145565,male,United States,jazz musician|recording artist|composer,
Q1150914,male,Czech Republic|Czechoslovakia,ice hockey player|tennis player|ice hockey coach,
Q1151906,,,,
Q1158704,male,Japan|Germany,vocalist|musician|singer|composer,
Q1163891,male,France,graphic designer|poet|writer,
Q1173665,male,United States,musicologist|choir director|conductor,
Q1173895,male,United Kingdom,botanist,
Q106204,male,France,audiobook narrator|film actor|racing automobile driver|director|stage actor|character actor|film director|actor|screenwriter,
Q106255,male,France,film actor|theatre director|film producer|stage actor|stunt performer|actor,
Q106471,male,United States,researcher|chemist,
Q106544,male,France,bobsledder|film actor|television actor|racing automobile driver|director|stage actor|actor,
Q106555,male,France,consultant|audiobook narrator|film actor|television actor|director|stage actor|film director|actor,
Q106606,female,Germany,novelist|teacher|writer,
Q106764,female,Spain,film actor|actor,
Q106834,female,Germany,English–German translator|children's writer|writer|translator,
Q107006,female,Italy|France,film actor|stage actor|actor,
Q107264,male,United States,economist,
Q107423,male,United States|Kingdom of Denmark,nuclear physicist|university teacher|physicist,
Q108014,female,Germany|German Democratic Republic,writer|translator,
Q109726,male,United States|Italy|Switzerland,biochemist|university teacher|chemist,
Q110930,male,United States,university teacher|chemist,
Q111240,male,United States,naval aviator|naval officer|test pilot|screenwriter|astronaut,
Q111452,female,Germany,feminist|ecofeminist|politician|sociologist|university teacher|writer,
Q111956,male,Austria,entrepreneur,
Q112193,male,Austria,designer|inventor|engineer,
Q1174142,male,South Africa,head teacher|politician|minister,
Q10831393,male,Latvia,basketball player,
Q11015464,female,"Slovenia|Socialist Federal Republic of Yugoslavia|Kingdom of Serbs, Croats and Slovenes|Kingdom of Yugoslavia",university teacher|chemist,
Q11112119,female,United States,operator|politician|flight attendant,
Q11539167,male,Japan,association football player|association football coach,
Q11682364,female,Argentina,activist|human rights defender,
Q100437698,,,,
Q105438637,male,United States,lawyer|writer,
Q105627129,male,Italy,diplomat,
Q106286501,male,India,photojournalist,
Q108564852,,,,
Q110627549,male,Venezuela,construction worker|sheriff|farmer,
Q111015860,male,Ukraine,sapper|military personnel,
Q111081232,male,Russia|Soviet Union,military officer,
Q111273964,female,Ukraine,actor,
Q111305264,female,Ukraine,television journalist|journalist|human rights defender|war correspondent,
Q112324990,female,Brazil,mathematics teacher|nun,
Q113330716,female,Japan|Empire of Japan,housewife,
Q114051466,,,,
Q10652,male,United Kingdom,autobiographer|economist|politician,
Q11256,male,Cuba,film actor|revolutionary|journalist|statesperson|partisan|jurist|politician|lawyer|head of state,
Q11431,female,United States,venture capitalist|inventor|physicist|entrepreneur|computer scientist|engineer,
Q11481,female,United Kingdom,university teacher|mathematician|computer scientist|engineer,
Q11740,female,United States,military flight engineer|mathematician|physicist|computer scientist|writer|teacher,
Q125484,female,Germany,novelist|playwright|writer|religious studies,multiple sclerosis
Q132190,female,Australia,chess player|singer,traffic collision
Q123010,male,Switzerland,philosopher|university teacher|theologian|Catholic priest|writer,Parkinson's disease
Q130024,male,United States,economist|politician,Parkinson's disease
Q133151,male,United Kingdom,rock singer|musician|singer-songwriter|singer|composer,Parkinson's disease|myocardial infarction|coronary artery disease
Q125794,male,Serbia|Kosovo|Serbia and Montenegro|Socialist Federal Republic of Yugoslavia,urologist|politician,cancer
Q132451,male,United States,film producer,cancer
Q1181574,female,United States,university teacher|physicist,cancer
Q1189457,male,United States,tennis player|tennis coach,cancer
Q1231556,male,United Kingdom,television actor|stage actor|actor,cancer
Q1236512,male,Russia,association football player|association football coach,cancer
Q1280931,male,Italy|Kingdom of Italy,association football player|association football coach,Alzheimer's disease
Q1333472,male,Brazil,association football player|association football coach,Alzheimer's disease
Q132070,male,South Africa,guitarist|singer-songwriter|singer,leukemia
Q1238201,male,France,association football player,leukemia
Q129228,male,United States|France,cultural anthropologist|religious studies scholar|philologist|anthropologist|philosopher|literary critic|university teacher|historian|writer,disease
Q1273495,male organism,,,cancer
Q12214289,female,Egypt,film actor,cancer
Q12956738,female,Croatia|Socialist Federal Republic of Yugoslavia,literary critic|translator|docent|writer,cancer
Q12946,male,France,official|politician,cancer
Q1201902,female organism,,railway worker,heart failure
Q1209674,male,United States,political activist|autobiographer|social critic|activist|social activist|athletics competitor|comedian|entrepreneur|politician|writer,heart failure
Q1240040,male,Japan|United States,japanologist|linguist|librettist|university teacher|author|translator|historian|writer,heart failure
Q1295870,male,United States,recording artist|music executive|percussionist|film score composer|bandleader|lyricist|musician|singer-songwriter|drummer|record producer|composer|singer,Parkinson's disease
Q131248,male,Singapore,autobiographer|philosopher|statesperson|lawyer|politician,pneumonia
Q1189058,male,Japan|Empire of Japan,swimmer,pneumonia
Q1209753,male,United States,film actor|television actor|voice actor|television director|character actor|actor|screenwriter,pneumonia
Q1229601,male,Russia,prose writer|opinion journalist|theatre director|director|film director|drama teacher|theatre manager|pedagogue|playwright|actor|screenwriter,pneumonia
Q1264306,female,United States,film actor|television actor|voice actor|stage actor|comedian|singer|actor,pneumonia
Q1291104,female,United States,film actor|dancer|television actor|stage actor|musician|singer|actor,disease
Q12180950,female,syria,politician,disease
Q1254,male,Ghana,diplomat|economist|politician,disease
Q1235479,male,United States,film actor|television actor|voice actor|stage actor|musician|actor,lung cancer
Q1277484,male,United States,film actor|television actor|stage actor|voice actor|actor,myocardial infarction
Q1289100,male,Slovakia|Czechoslovakia,foreign minister|diplomat|politician,myocardial infarction
Q1252125,male,Serbia|Socialist Federal Republic of Yugoslavia,film actor|television actor|stage actor|actor,colorectal cancer
Q130311,male,United Kingdom,recording artist|television actor|film director|multi-instrumentalist|lyricist|songwriter|musician|singer-songwriter|record producer|singer|composer,dilated cardiomyopathy|fatty liver disease
Q1252526,male,United Kingdom|United Kingdom of Great Britain and Ireland,camera operator|cinematographer,falling
Q1285234,male,Yugoslavia,singer-songwriter|singer,pneumonia
Q1290991,male,Argentina,rower|rugby union player,pneumonia
Q1315977,male,Japan|Empire of Japan,television actor|film actor|stunt performer|actor,pneumonia
Q1320640,male,United States,trade unionist|television actor|film actor|basketball player|stage actor|actor,pneumonia
Q1224,male,Italy|Kingdom of Italy,banker|economist|politician,pneumonia
Q124495,male,United Kingdom,journalist|sports commentator|association football player|association football coach,lymphoma
Q127677,male,United Kingdom,director|film director|photographer|screenwriter,asphyxia|suicide method
Q1332599,male,Italy|Bulgaria|Argentina|Kingdom of Italy,film score composer|music arranger|bandleader|musician|pianist|conductor|composer,leukemia
Q1189486,female,Japan,princess,senility
Q1245136,male,United Kingdom,game show host|film actor|television actor|dancer|stage actor|television presenter|comedian|singer|actor|screenwriter,bronchopneumonia
Q1262052,male,Saudi Arabia,political writer|journalist,killing
Q1225972,male,Greece,association football player,pulmonary edema
Q125121,female,United States,women composers|soul musician|activist|pianist|songwriter|record producer|singer|composer,pancreatic cancer
Q123206,male,Switzerland,film actor|television actor|film director|stage actor,small intestine cancer
Q132345,male,Japan,politician,gunshot wound|exsanguination
Q1314603,male,United States,university teacher|computer scientist|mathematician,pulmonary fibrosis
Q12636953,female,"Croatia|Socialist Federal Republic of Yugoslavia|Kingdom of Yugoslavia|Kingdom of Serbs, Croats and Slovenes",athletics competitor|sports commentator|journalist,bone fracture|COVID-19
Q1270283,male,United States,film producer|film director|showrunner|television producer|businessperson|actor|screenwriter,cardiac arrest
Q1290010,female,India,film actor|television actor|stage actor,cardiac arrest
Q1332856,male,United States,basketball coach|basketball player,stroke
Q12170857,male,Ukraine|Soviet Union,astronomer|writer,stroke
Q133040,male,Japan|Peru,agricultural engineer|television presenter|university teacher|politician|writer,tongue cancer
Q1229223,male,Canada|Italy,industrialist|business executive|accountant|entrepreneur|lawyer,surgical complications
Q12807,male,Italy|Kingdom of Italy,semiologist|literary scholar|essayist|novelist|literary critic|medievalist|philosopher|pedagogue|university teacher|translator|historian|writer|screenwriter,pancreatic cancer
Q1292127,male,United States,film actor|television actor|stage actor|actor,dementia
Q1290549,female,Bosnia and Herzegovina|Yugoslavia,singer-songwriter,amyotrophic lateral sclerosis
Q1332676,male,United States,trade unionist|television actor|film actor|voice actor|actor,amyotrophic lateral sclerosis
Q1331953,male,United States,television actor|film actor|film producer|actor,chronic obstructive pulmonary disease
Q13071335,female,Slovakia,opera singer|singer,breast cancer
Q13017264,male,Thailand,singer,heart failure
Q1281080,female,United States,film actor|television actor|actor,squamous cell carcinoma
Q12897,male,Brazil,film actor|athlete|association football player|musician|politician|composer|actor,colorectal cancer|multiple organ dysfunction syndrome
Q118199,male,Switzerland,politician|lawyer,COVID-19
Q127219,male,Gabon,bank manager|head of government|diplomat|minister|politician,COVID-19
Q128736,male,United States,university teacher|economist|mathematician,car collision
Q1196262,male,United Kingdom|People's Republic of China|Republic of China,pianist|musician|composer,COVID-19
Q1267921,male,Belarus|Soviet Union,speed skater,COVID-19
Q1329182,male,United States,university teacher|mathematician,mantle cell lymphoma
Q1276,male,Canada,draftsperson|novelist|film actor|street artist|lyricist|musician|pianist|singer-songwriter|author|record producer|singer|poet|writer|screenwriter,falling
Q1270169,male,Bosnia and Herzegovina|Socialist Federal Republic of Yugoslavia|Independent State of Croatia,film director|major general|military personnel|politician|engineer|businessperson,cyanide poisoning
Q12885954,female,Greece,politician,ileus
Q11860,male,Italy,association football executive|media proprietor|head of government|entrepreneur|politician,chronic myelomonocytic leukemia
Q12087281,male,Ukraine,Wikimedian|prose writer|children's writer|numismatist|public figure|translator|author|poet|writer,gunshot wound
Q12219365,female,United States|Palestine,television journalist|journalist|reporter,gunshot wound
Q120138160,male,Iraq,activist|critic,gunshot wound
Q127424136,male,United States,,gunshot wound
Q1238247,male,Iran|Pahlavi Iran,recording artist|music educator|qāriʾ|calligrapher|musician|singer|composer,kidney cancer
Q12956,male,France,secondary school teacher|politician,stomach cancer
Q1282910,male,United States,rock singer|rock musician|recording artist|television actor|guitarist|singer-songwriter|composer|singer|actor,esophageal cancer
Q1318594,female,Japan,recording artist|film actor|model|lyricist|singer|actor,drowning
Q1304952,male,United States,producer|philanthropist|film actor|soldier|television actor|dancer|director|film director|voice actor|film producer|comedian|television producer|military officer|singer|military personnel|writer|actor|screenwriter,normal pressure hydrocephalus
Q123139628,female,Palestine,novelist|nutritionist|poet|writer,airstrike
Q1281731,male,United Kingdom,film actor|television actor|actor,infectious disease
Q1287976,female,Hungary|Romania,puppeteer|editing staff|Esperantist|writer|actor,COVID-19
Q1320080,male,Japan,owarai tarento|presenter|tarento|seiyū|comedian|singer|actor,COVID-19
Q12447464,female,India|British Raj|Dominion of India,politician|writer,COVID-19
Q12748222,male,Serbia,songwriter|keyboardist|bandleader|musician|conductor|singer|composer,COVID-19
Q12877939,male,Greece,politician,COVID-19
Q1317158,male,United States,baseball player-manager|baseball player|baseball coach,bone cancer
Q118216,male,Germany,rower,
Q118250,male,Switzerland,jurist|politician|lawyer,
Q118937,male,Lithuania|Soviet Union,restorer|politician,
Q119069,male,Mexico,film producer|singer|actor,
Q121535,male,United States,recording artist|jazz musician|saxophonist|music arranger|musician|bandleader|composer,
Q121976,male,Spain,sport cyclist,
Q122063,female,Switzerland,jurist|politician|lawyer,
Q122127,male,United Kingdom|United Kingdom of Great Britain and Ireland,autobiographer|children's writer|Founder|camera operator|cinematographer|writer|screenwriter,
Q122232,male,United Kingdom,rock drummer|jazz musician|percussionist|musician|songwriter|drummer|singer,
Q122272,male,Switzerland,chemist,
Q122295,male,Kingdom of the Netherlands,track cyclist|sport cyclist,
Q122298,male,Switzerland,university teacher|physicist,
Q123118,male,Poland|France,association football player,
Q123507,male,Switzerland,medical historian|literary scholar|literary historian|literary theorist|philosopher|literary critic|university teacher|physician writer|physician,
Q123521,male,Switzerland|France,essayist|translator|poet|writer,
Q123621,male,Switzerland,non-fiction writer|typesetter|calligrapher|graphic artist|typographer|graphic designer|artist|type designer,
Q123654,male,Switzerland,non-fiction writer|university teacher|urban planner|architect,
Q123879,male,Switzerland,Catholic bishop|Catholic priest|nuncio|archbishop|priest,
Q124038,male,Switzerland,librettist|journalist|teacher|writer,
Q124092,male,Switzerland,music educator|university teacher|violinist|conductor|composer,
Q125237,female,United States,film actor|television actor|voice actor|actor,
Q127672,male,Australia,swimmer,
Q127937,male,Italy,Catholic bishop|Catholic priest|diplomat,
Q128379,male,United Kingdom,professional fitness coach|weightlifter|film actor|television actor|actor,
Q128563,male,Canada,business executive|lawyer|politician|writer,
Q128568,male,Canada|United Kingdom,athletics competitor|lawyer|politician,
Q128888,male,Israel,military officer|politician,
Q131814,female,United States|Switzerland,autobiographer|recording artist|dancer|film director|choreographer|songwriter|musician|singer|actor,
Q132701,male,Saint Lucia,prose writer|librettist|director|playwright|poet|writer,
Q1181130,male,United States,sprinter|stunt performer|actor,
Q1185256,male,Kingdom of the Netherlands,draftsperson|opinion journalist|journalist|columnist|translator|poet|writer|screenwriter,
Q1188374,male,Ukraine|Soviet Union,swimmer,
Q1188596,male,Soviet Union|Tajikistan,engineer|politician,
Q1189587,male,United Kingdom,film actor|television actor|stage actor|actor,
Q1192498,male,Japan|Empire of Japan,music arranger|pianist|conductor|composer,
Q1194523,male,People's Republic of China,producer|film producer,
Q1196186,male,United States,Protestant theologian|philosopher|theologian|pastor|writer,
Q1221840,male,France,prose writer|playwright|poet|writer,
Q1229829,male,Kazakhstan|Soviet Union,amateur wrestler,
Q1230098,male,France,association football coach|association football player,
Q1230469,male,Italy|Kingdom of Italy,essayist|literary critic|journalist|writer,
Q1230705,male,France,novelist|essayist|professor|playwright|writer|actor|screenwriter,
Q1231315,male,Italy,Catholic bishop|Catholic priest,
Q1232803,male,Russia|Germany|Soviet Union,graffiti artist|painter,
Q1236696,male,United States,anthropologist|documentary filmmaker|ethnologist|university teacher,
Q1238249,male,France,philanthropist|journalist|war correspondent|historian|writer,
Q1238593,female,Belgium|France,novelist|lyricist|writer,
Q1239172,male,United States,university teacher|mathematician|computer scientist,
Q1239590,male,United States,ship captain|politician|teacher,
Q1248110,male,Mali,film screenwriter|film producer|film director|screenwriter,
Q1248240,male,United States,university teacher|surgeon|physician|scientist,
Q1250094,male,Greece|France,draftsperson|film director|journalist|writer|screenwriter,
Q1251657,male,Poland,boxer,
Q1254590,male,Serbia|Socialist Federal Republic of Yugoslavia,association football player,
Q1255276,male,Croatia,table tennis player|athlete,
Q1258959,male,United States,science fiction writer|television actor|novelist|writer,
Q1262589,male,Canada|United States,ufologist|nuclear physicist|essayist|physicist,
Q1270509,male,France,saxophonist|television actor|film actor|musician|pianist|singer|clarinetist|actor,
Q1277085,male,United States,television actor|film actor|actor,
Q1277298,male,Italy|Kingdom of Italy,journalist|civil servant|partisan|politician|writer,
Q1280936,male,United States|Soviet Union,nuclear physicist|human rights defender|university teacher,
Q1281308,male,France,naval officer|admiral|politician,
Q1281569,male,Croatia|Socialist Federal Republic of Yugoslavia|Kingdom of Yugoslavia,film actor|director|film director|screenwriter,
Q1282338,male,United States,novelist|university teacher|writer|screenwriter,
Q1284560,male,France|Serbia,film screenwriter|director|film producer|film director|costume designer|screenwriter,
Q1287240,male,Italy,association football referee|referee,
Q1288271,male,Bosnia and Herzegovina|Socialist Federal Republic of Yugoslavia,association football player|association football coach,
Q1290500,male,Serbia|Serbia and Montenegro|Yugoslavia,association football player|association football coach,
Q1290539,male,Yugoslavia,military officer|military personnel,
Q1291127,male,United States,film actor|television actor|stage actor|actor,
Q1291283,male,United States,film actor|pornographic actor,
Q1292237,female,Mexico,film actor|television actor|stage actor|actor,
Q1298064,male,Italy|Kingdom of Italy,association football player,
Q1305608,male,United Kingdom,librettist|film score composer|lyricist|songwriter|musician|playwright|poet|composer|screenwriter,
Q1315300,male,United States,weightlifter,
Q1316565,male,United States,athletics competitor,
Q1316719,female,United States,autobiographer|novelist|children's writer|illustrator|librarian|writer,
Q1319384,male,Soviet Union,functionary|military officer|politician|engineer,
Q1319582,female,United Kingdom,film actor|stage actor|actor,
Q1333409,male,United States,scientific collector|arachnologist|entomologist|university teacher|zoologist,
Q12071846,female,India,installation artist|artist|painter|sculptor|photographer,
Q12095007,female,Soviet Union|Tajikistan,astronomer,
Q12151449,female,Ukraine|Soviet Union,ceramicist|visual artist|graphic artist|sculptor|painter,
Q12178106,male,Palestine,military spokesperson,
